screen_size,rear_camera_mp,front_camera_mp,internal_memory,ram,battery,weight,release_year,days_used,used_price,new_price
15.32,10.5,16.0,128.0,4.0,4000.0,163.0,2020,127,338.25507955665,372.3569298384
20.32,5.0,2.0,16.0,2.0,5100.0,310.0,2020,240,286.45682783508994,313.02849426897
15.37,10.5,16.0,128.0,8.0,4000.0,189.0,2020,102,333.89247548768,391.59710187256997
16.71,10.5,16.0,256.0,8.0,4200.0,226.0,2020,215,373.0840877081,491.88123408251
16.23,10.5,8.0,64.0,4.0,4000.0,176.0,2020,133,296.47082665604995,344.99375775386994
16.23,10.5,8.0,64.0,4.0,4000.0,176.0,2020,202,315.84965461182003,335.64996693333
16.74,13.0,16.0,128.0,6.0,4000.0,206.0,2019,433,344.39565210938997,385.32204055956
15.34,13.0,16.0,128.0,8.0,4200.0,183.0,2019,505,339.2320854469,382.72643805263993
15.9,13.0,32.0,64.0,6.0,4000.0,178.0,2019,351,342.07267918699,359.90373984116997
15.32,13.0,16.0,64.0,6.0,4000.0,163.0,2019,364,336.08954666558,359.56040738998996
16.23,13.0,8.0,64.0,4.0,4000.0,176.0,2019,253,299.01139727582,340.65147792552
16.59,13.0,16.0,512.0,12.0,4500.0,198.0,2019,488,407.18526683532,505.20211612581994
16.81,13.0,16.0,128.0,6.0,4200.0,196.0,2019,269,375.54932617233,439.93054926600996
16.81,13.0,16.0,128.0,6.0,4200.0,196.0,2019,207,363.00231592951997,428.61511947
15.9,13.0,32.0,128.0,6.0,4000.0,178.0,2019,223,354.13521412491,384.83522847156996
16.74,13.0,16.0,128.0,4.0,4000.0,163.5,2019,181,332.37877584878,356.01373429718996
20.42,13.0,8.0,128.0,6.0,6100.0,340.0,2019,307,335.69356888837996,398.0504773248
20.42,13.0,8.0,64.0,4.0,6100.0,320.0,2019,274,340.71447843998,377.5605600733
